Restaurant ID,Restaurant Name,Country Code,City,Address,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating text,Votes
6308205,Wildflour Cafe + Bakery,162,Taguig City,Bonifacio Global City,Cafe Bakery American Italian,1500,Botswana Pula(P),Yes,No,No,4,4.4,Very Good,392
6315438,NIU by Vikings,162,Taguig City,SM Aura Premier Bonifacio Global City Taguig City,Seafood American Mediterranean Japanese,3000,Botswana Pula(P),Yes,No,No,4,4.7,Excellent,535
6310406,The Food Hall by Todd English,162,Taguig City,SM Aura Premier Bonifacio Global City Taguig City,American Asian Italian Seafood,1800,Botswana Pula(P),Yes,No,No,4,4.5,Excellent,618
6600681,Chez Michou,30,BrasÌ_lia,Asa Norte,Fast Food French,55,Brazilian Real(R$),No,No,No,2,3,Average,6
6601005,CafÌ© Daniel Briand,30,BrasÌ_lia,Asa Norte,Cafe,30,Brazilian Real(R$),No,No,No,1,3.8,Good,9
6600292,Casa do Biscoito Mineiro,30,BrasÌ_lia,Asa Norte,Bakery,45,Brazilian Real(R$),No,No,No,2,3.7,Good,11
6600441,Maori,30,BrasÌ_lia,Asa Norte,Brazilian,60,Brazilian Real(R$),No,No,No,3,3.8,Good,11
6600970,Pizza ÌÊ Bessa,30,BrasÌ_lia,Asa Sul,Pizza,50,Brazilian Real(R$),No,No,No,2,3.2,Average,11
6600379,Sushi Loko,30,BrasÌ_lia,Asa Sul,Japanese,80,Brazilian Real(R$),No,No,No,3,3.1,Average,10
6600214,Beirute,30,BrasÌ_lia,Asa Sul,Arabian,90,Brazilian Real(R$),No,No,No,3,3.7,Good,8
6601218,New Koto,30,BrasÌ_lia,Asa Sul,Japanese,200,Brazilian Real(R$),No,No,No,4,3.7,Good,5
6600060,Sandubas CafÌ©,30,BrasÌ_lia,Asa Sul,Brazilian Cafe,30,Brazilian Real(R$),No,No,No,1,0,Not rated,2
6600083,Villa Tevere,30,BrasÌ_lia,Asa Sul,Italian,150,Brazilian Real(R$),No,No,No,4,4.1,Very Good,12
6601515,Rovereto,30,BrasÌ_lia,ÌÅguas Claras,Pizza,100,Brazilian Real(R$),No,No,No,4,3.1,Average,9
6601361,Buena Carne,30,BrasÌ_lia,ÌÅguas Claras,Bar Food Brazilian,60,Brazilian Real(R$),No,No,No,3,3.6,Good,9
6601602,Taco Pep,30,BrasÌ_lia,ÌÅguas Claras,Mexican Grill,100,Brazilian Real(R$),No,No,No,4,4.3,Very Good,29
6601589,Coco Bambu,30,BrasÌ_lia,BrasÌ_lia Shopping Asa Norte,International,230,Brazilian Real(R$),No,No,No,4,4.2,Very Good,17
6601862,TaypÌÁ,30,BrasÌ_lia,Lago Sul,Peruvian Latin American,100,Brazilian Real(R$),No,No,No,4,3.6,Good,5
6601595,Outback Steakhouse,30,BrasÌ_lia,ParkShopping GuarÌÁ I,American Grill,150,Brazilian Real(R$),No,No,No,4,4,Very Good,10
6601158,ManzuÌÁ,30,BrasÌ_lia,PontÌ£o Lago Sul Lago Sul,Seafood,240,Brazilian Real(R$),No,No,No,4,3.2,Average,6
6600427,Coco Bambu,30,BrasÌ_lia,Setor De Clubes Esportivos Sul,International,230,Brazilian Real(R$),No,No,No,4,4.9,Excellent,30
6600116,Gero,30,BrasÌ_lia,Shopping Iguatemi Lago Norte,Italian,350,Brazilian Real(R$),No,No,No,4,3.3,Average,8
6601457,Brazilian American Burgers,30,BrasÌ_lia,Sudoeste,American Burger,50,Brazilian Real(R$),No,No,No,2,3.6,Good,9
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,Barra da Tijuca,Seafood Bar Food Brazilian,140,Brazilian Real(R$),No,No,No,4,4,Very Good,7
7304307,Confeitaria Colombo,30,Rio de Janeiro,Centro,Desserts Cafe,100,Brazilian Real(R$),No,No,No,4,4.8,Excellent,29
7301215,Bibi,30,Rio de Janeiro,Copacabana,Juices Healthy Food,60,Brazilian Real(R$),No,No,No,3,4.7,Excellent,24
7300596,Cervantes,30,Rio de Janeiro,Copacabana,Beverages Bar Food Fast Food,90,Brazilian Real(R$),No,No,No,3,4.5,Excellent,29
7300612,Amir,30,Rio de Janeiro,Copacabana,Lebanese,170,Brazilian Real(R$),No,No,No,4,4.2,Very Good,11
7300704,TT Burger,30,Rio de Janeiro,Galeria River Copacabana,Burger,60,Brazilian Real(R$),No,No,No,3,4.8,Excellent,19
7300955,Braseiro da GÌÁvea,30,Rio de Janeiro,GÌÁvea,Brazilian Bar Food,100,Brazilian Real(R$),No,No,No,4,4.9,Excellent,40
7300521,Balada Mix,30,Rio de Janeiro,Ipanema,Brazilian Healthy Food Juices Pizza,90,Brazilian Real(R$),No,No,No,3,4.6,Excellent,21
7300515,Garota de Ipanema,30,Rio de Janeiro,Ipanema,Brazilian Bar Food,120,Brazilian Real(R$),No,No,No,4,4.9,Excellent,49
7300483,ZazÌÁ BistrÌ« Tropical,30,Rio de Janeiro,Ipanema,Brazilian,170,Brazilian Real(R$),No,No,No,4,4.6,Excellent,21
7301064,FilÌ© de Ouro,30,Rio de Janeiro,Lagoa,Brazilian,90,Brazilian Real(R$),No,No,No,3,4.3,Very Good,14
7304312,D.O.C Ristorante,30,Rio de Janeiro,Le Monde Barra da Tijuca,Italian,150,Brazilian Real(R$),No,No,No,4,4,Very Good,5
7300004,Sushi Leblon,30,Rio de Janeiro,Leblon,Japanese,250,Brazilian Real(R$),No,No,No,4,4.6,Excellent,25
7300868,Talho Capixaba,30,Rio de Janeiro,Leblon,Bakery Sandwich Brazilian,120,Brazilian Real(R$),No,No,No,4,4.4,Very Good,13
7302637,Leme Light,30,Rio de Janeiro,Leme,Brazilian,40,Brazilian Real(R$),No,No,No,2,4.2,Very Good,7
7302140,Shirley,30,Rio de Janeiro,Leme,Brazilian Seafood,250,Brazilian Real(R$),No,No,No,4,4.2,Very Good,8
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,Madureira,Bar Food Brazilian,70,Brazilian Real(R$),No,No,No,3,0,Not rated,1
7302898,AprazÌ_vel,30,Rio de Janeiro,Santa Teresa,Brazilian,300,Brazilian Real(R$),No,No,No,4,4.7,Excellent,44
7302859,Aconchego Carioca,30,Rio de Janeiro,Tijuca,Brazilian Bar Food,85,Brazilian Real(R$),No,No,No,3,4.6,Excellent,24
7301700,Garota de Ipanema,30,Rio de Janeiro,Urca,Brazilian Bar Food,80,Brazilian Real(R$),No,No,No,3,4.3,Very Good,10
6706313,Cantina Famiglia Mancini,30,SÌ£o Paulo,Bela Vista Centro,Italian Pizza,250,Brazilian Real(R$),No,No,No,4,4.5,Excellent,49
6704326,Templo da Carne - Marcos Bassi,30,SÌ£o Paulo,Bela Vista Centro,Steak BBQ,250,Brazilian Real(R$),No,No,No,4,4.4,Very Good,17
6711179,Gopala Hari,30,SÌ£o Paulo,ConsolaÌ_Ì£o,Indian,70,Brazilian Real(R$),No,No,No,3,3.1,Average,5
6702797,Jiquitaia,30,SÌ£o Paulo,ConsolaÌ_Ì£o,Brazilian,100,Brazilian Real(R$),No,No,No,4,4.1,Very Good,15
6700475,Skye - Hotel Unique,30,SÌ£o Paulo,Hotel Unique Jardim Paulista,Beverages International,300,Brazilian Real(R$),No,No,No,4,4.8,Excellent,59
6713413,Les 3 Brasseurs,30,SÌ£o Paulo,Itaim Bibi,French Brazilian Beverages,120,Brazilian Real(R$),No,No,No,4,4.6,Excellent,30
6714340,Red Steak & Burger,30,SÌ£o Paulo,Itaim Bibi,Brazilian Grill,75,Brazilian Real(R$),No,No,No,3,3.9,Good,5
6710645,Cantinho da Gula,30,SÌ£o Paulo,Itaim Bibi,Brazilian,55,Brazilian Real(R$),No,No,No,2,0,Not rated,0
6700402,Paris 6 Classique,30,SÌ£o Paulo,Jardim Paulista,French,200,Brazilian Real(R$),No,No,No,4,3.4,Average,73
6700846,Kawa Sushi,30,SÌ£o Paulo,Jardim Paulista,Sushi Japanese,120,Brazilian Real(R$),No,No,No,4,3.5,Good,9
6702159,A Figueira Rubaiyat,30,SÌ£o Paulo,Jardim Paulista,BBQ Grill Brazilian,300,Brazilian Real(R$),No,No,No,4,4.3,Very Good,39
6711666,Kinoshita,30,SÌ£o Paulo,Moema,Sushi,230,Brazilian Real(R$),No,No,No,4,3.9,Good,12
6701257,Meats,30,SÌ£o Paulo,Pinheiros,Gourmet Fast Food Burger,120,Brazilian Real(R$),No,No,No,4,4.3,Very Good,68
6706211,Paribar,30,SÌ£o Paulo,RepÌ_blica,Brazilian Italian,150,Brazilian Real(R$),No,No,No,4,4.3,Very Good,46
6705858,TerraÌ_o ItÌÁlia,30,SÌ£o Paulo,RepÌ_blica,Italian,400,Brazilian Real(R$),No,No,No,4,4.4,Very Good,37
6701419,Divino FogÌ£o,30,SÌ£o Paulo,Shopping MetrÌ« Santa Cruz Vila Mariana,Brazilian Mineira,65,Brazilian Real(R$),No,No,No,3,0,Not rated,2
6703956,Super Grill,30,SÌ£o Paulo,Shopping Morumbi Santo Amaro,Brazilian,50,Brazilian Real(R$),No,No,No,2,0,Not rated,2
6709580,Esquina MocotÌ_,30,SÌ£o Paulo,Vila Maria,Brazilian North Eastern,100,Brazilian Real(R$),No,No,No,4,4.4,Very Good,22
6703176,Veloso,30,SÌ£o Paulo,Vila Mariana,Brazilian Bar Food Beverages,70,Brazilian Real(R$),No,No,No,3,4.6,Excellent,58
6713772,Sainte Marie Gastronomia,30,SÌ£o Paulo,Vila SÌ«nia,Lebanese Arabian,120,Brazilian Real(R$),No,No,No,4,4.1,Very Good,11
17284404,Austin's BBQ and Oyster Bar,216,Albany,Albany,BBQ Burger Seafood,25,Dollar($),No,No,No,2,3.3,Average,35
17284203,BJ's Country Buffet,216,Albany,Albany,American BBQ,10,Dollar($),No,No,No,1,3.3,Average,25
17284105,Cookie Shoppe,216,Albany,Albany,,0,Dollar($),No,No,No,1,3.4,Average,34
17284302,El Vaquero Mexican Restaurant,216,Albany,Albany,Mexican,0,Dollar($),No,No,No,1,3.4,Average,45
17284397,Elements Coffee Co - Northwest,216,Albany,Albany,Coffee and Tea Sandwich,10,Dollar($),No,No,No,1,3.4,Average,26
17284211,Pearly's Famous Country Cookng,216,Albany,Albany,,0,Dollar($),No,No,No,1,3.4,Average,36
17284094,Chick-fil-A,216,Albany,Albany,Fast Food,10,Dollar($),No,No,No,1,3.5,Good,67
17284409,Guang Zhou Chinese Restaurant,216,Albany,Albany,Asian Chinese Vegetarian,10,Dollar($),No,No,No,1,3.9,Good,141
17284139,Harvest Moon,216,Albany,Albany,Pizza Bar Food Sandwich,25,Dollar($),No,No,No,2,3.7,Good,147
17284403,Henry Campbell's Steakhouse,216,Albany,Albany,Steak Tapas Bar Food,70,Dollar($),No,No,No,4,3.5,Good,51
17284145,Hong Kong Cafe,216,Albany,Albany,Chinese Seafood Vegetarian,25,Dollar($),No,No,No,2,3.6,Good,88
17284150,House of China Restaurant II,216,Albany,Albany,Chinese,10,Dollar($),No,No,No,1,3.8,Good,153
17284158,Jimmie's Hot Dogs,216,Albany,Albany,,10,Dollar($),No,No,No,1,3.9,Good,160
17284175,Locos Grill & Pub,216,Albany,Albany,American Burger Sandwich,25,Dollar($),No,No,No,2,3.5,Good,57
17284179,Longhorn Steakhouse,216,Albany,Albany,American Steak,25,Dollar($),No,No,No,2,3.5,Good,58
17284197,Mikata Japanese Steakhouse,216,Albany,Albany,Japanese Steak Sushi,40,Dollar($),No,No,No,3,3.6,Good,115
17284241,Shogun Japanese Steak House,216,Albany,Albany,Japanese Steak Sushi,40,Dollar($),No,No,No,3,3.5,Good,51
17284390,The Catch Seafood Room & Oyster Bar,216,Albany,Albany,Seafood Tapas Bar Food,40,Dollar($),No,No,No,3,3.8,Good,250
17284279,Villa Gargano,216,Albany,Albany,Italian Pizza,10,Dollar($),No,No,No,1,3.7,Good,117
17284364,3 Squares Diner,216,Albany,Sylvester,American Breakfast Diner,10,Dollar($),No,No,No,1,3.4,Average,20
16611114,Whitebull Hotel,14,Armidale,Armidale,Bar Food Steak,20,Dollar($),No,No,No,2,3.5,Good,25
17293281,Last Resort Grill,216,Athens,Athens,American Southern Southwestern,40,Dollar($),No,No,No,3,4.5,Excellent,1821
17293301,Mama's Boy Restaurant,216,Athens,Athens,Southern,10,Dollar($),No,No,No,1,4.5,Excellent,849
17293409,Sr. Sol 1,216,Athens,Athens,Mexican,10,Dollar($),No,No,No,1,4.6,Excellent,917
17293163,Choo Choo Eastside,216,Athens,Athens,Japanese Korean,10,Dollar($),No,No,No,1,3.9,Good,439
17293228,The Grill,216,Athens,Athens,Breakfast Burger Sandwich,10,Dollar($),No,No,No,1,3.7,Good,289
17293880,Big City Bread Cafe,216,Athens,Athens,Breakfast Sandwich,10,Dollar($),No,No,No,1,4.3,Very Good,558
17293169,Clocked,216,Athens,Athens,American Burger Sandwich,10,Dollar($),No,No,No,1,4.2,Very Good,613
17293186,DePalma's Italian Cafe - Downtown,216,Athens,Athens,American Italian Pizza,25,Dollar($),No,No,No,2,4,Very Good,353
17293180,DePalma's Italian Cafe - East Side,216,Athens,Athens,American Italian Pizza,25,Dollar($),No,No,No,2,4.1,Very Good,387
17293205,Five & Ten,216,Athens,Athens,American,40,Dollar($),No,No,No,3,4.3,Very Good,755
17293229,Grit,216,Athens,Athens,International Southern Vegetarian,10,Dollar($),No,No,No,1,4.2,Very Good,800
17293897,Ike & Jane,216,Athens,Athens,Sandwich,10,Dollar($),No,No,No,1,4.1,Very Good,350
17293273,La Dolce Vita Ristorante,216,Athens,Athens,Italian,40,Dollar($),No,No,No,3,4.1,Very Good,464
17293870,Shokitini,216,Athens,Athens,Asian Japanese Sushi,25,Dollar($),No,No,No,2,4.2,Very Good,550
17293877,Taqueria Del Sol,216,Athens,Athens,Mexican Spanish,10,Dollar($),No,No,No,1,4.1,Very Good,543
17293890,The National,216,Athens,Athens,International Southern,40,Dollar($),No,No,No,3,4.1,Very Good,465
17293915,The Royal Peasant,216,Athens,Athens,Bar Food,10,Dollar($),No,No,No,1,4.4,Very Good,546
17293422,Transmetropolitan,216,Athens,Athens,Italian Pizza Sandwich,10,Dollar($),No,No,No,1,4.4,Very Good,1098
17293873,Trappeze Pub,216,Athens,Athens,Burger Bar Food,25,Dollar($),No,No,No,2,4.2,Very Good,579
17294014,Viva! Argentine Cuisine,216,Athens,Athens,Desserts Latin American Argentine,10,Dollar($),No,No,No,1,4.1,Very Good,374
17294556,Miyabi Kyoto Japanese Steak House,216,Augusta,Augusta,Chinese Steak,40,Dollar($),No,No,No,3,4.6,Excellent,717
17294607,Rae's Coastal Cafe,216,Augusta,Augusta,American Caribbean Seafood,40,Dollar($),No,No,No,3,4.9,Excellent,548
17294279,The Bee's Knees,216,Augusta,Augusta,International Tapas Vegetarian,25,Dollar($),No,No,No,2,4.5,Excellent,631
17294300,Boll Weevil Cafe,216,Augusta,Augusta,Desserts Sandwich Southern,10,Dollar($),No,No,No,1,3.9,Good,372
17295215,Farmhaus Burger,216,Augusta,Augusta,American Burger,25,Dollar($),No,No,No,2,3.9,Good,201
17295028,Manuel's Bread Cafe,216,Augusta,Augusta,Breakfast French,40,Dollar($),No,No,No,3,3.8,Good,332
17294642,Sconyers Bar B Que,216,Augusta,Augusta,BBQ,25,Dollar($),No,No,No,2,3.5,Good,304
17295109,Frog Hollow Tavern,216,Augusta,Augusta,American,40,Dollar($),No,No,No,3,4.3,Very Good,368
17294441,Giuseppe's Pizza & Italian Specialities,216,Augusta,Augusta,Desserts Italian Pizza,25,Dollar($),No,No,No,2,4.1,Very Good,430
17294552,Mellow Mushroom,216,Augusta,Augusta,Italian Pizza Sandwich,25,Dollar($),No,No,No,2,4.4,Very Good,433
17294565,Nacho Mamas Burritos,216,Augusta,Augusta,Mexican,10,Dollar($),No,No,No,1,4,Very Good,380
17294623,Rhinehart's Oyster Bar,216,Augusta,Augusta,Bar Food Sandwich Seafood,25,Dollar($),No,No,No,2,4,Very Good,456
17294712,Takosushi,216,Augusta,Augusta,Mexican Southwestern Sushi,40,Dollar($),No,No,No,3,4.2,Very Good,647
17295033,The Chop House,216,Augusta,Augusta,Steak,40,Dollar($),No,No,No,3,4,Very Good,360
17295069,The Taj of India,216,Augusta,Augusta,Indian,25,Dollar($),No,No,No,2,4,Very Good,227
17294261,Augsburg Haus,216,Augusta,Evans,German,25,Dollar($),No,No,No,2,3.9,Good,290
17295115,Pho Bac,216,Augusta,Evans,Vietnamese,10,Dollar($),No,No,No,1,4.1,Very Good,270
17294836,Rhinehart's Oyster Bar,216,Augusta,Evans,Burger Seafood,25,Dollar($),No,No,No,2,4,Very Good,326
17294850,Thai Kitchen,216,Augusta,Evans,Thai,35,Dollar($),No,No,No,3,4.3,Very Good,317
17294883,El Kiosco Mexican Restaurant,216,Augusta,Grovetown,Mexican,10,Dollar($),No,No,No,1,4.2,Very Good,300
16608864,Taste of Balingup,14,Balingup,Balingup,Modern Australian,20,Dollar($),No,No,No,2,3.2,Average,21
16604911,Bridge Road Brewers,14,Beechworth,Beechworth,Pizza Bar Food,20,Dollar($),No,No,No,2,4.6,Excellent,237
17303465,Bardenay,216,Boise,Boise,American Bar Food,25,Dollar($),No,No,No,2,4.5,Excellent,879
17303642,Flatbread Neapolitan Pizzeria,216,Boise,Boise,Italian Pizza,25,Dollar($),No,No,No,2,4.6,Excellent,615
17303670,Goldy's Breakfast Bistro,216,Boise,Boise,Breakfast Sandwich,25,Dollar($),No,No,No,2,4.5,Excellent,879
17303545,Chandlers Steakhouse,216,Boise,Boise,American Seafood Steak,70,Dollar($),No,No,No,4,3.9,Good,379
17303655,Bar Gernika Basque Pub & Eatery,216,Boise,Boise,European Spanish,10,Dollar($),No,No,No,1,4.3,Very Good,303
17304691,Barbacoa Restaurant,216,Boise,Boise,Latin American Steak,70,Dollar($),No,No,No,4,4.1,Very Good,538
17303478,Big Jud's,216,Boise,Boise,American Burger Sandwich,10,Dollar($),No,No,No,1,4.2,Very Good,334
17303480,Bittercreek Ale House,216,Boise,Boise,American Bar Food,25,Dollar($),No,No,No,2,4.3,Very Good,555
17304733,Boise Fry Company,216,Boise,Boise,American Burger,10,Dollar($),No,No,No,1,4.4,Very Good,823
17303646,Flying Pie Pizzaria,216,Boise,Boise,Pizza,25,Dollar($),No,No,No,2,4.1,Very Good,550
17304929,Fork,216,Boise,Boise,American Burger,25,Dollar($),No,No,No,2,4.4,Very Good,650
17303684,Guido's Original New York Style Pizza,216,Boise,Boise,Pizza,10,Dollar($),No,No,No,1,4.3,Very Good,410
17303772,Los Beto's,216,Boise,Boise,Mexican,10,Dollar($),No,No,No,1,4.4,Very Good,660
17305123,Lucianos Italian Restaurant,216,Boise,Boise,Italian Seafood Vegetarian,25,Dollar($),No,No,No,2,4.4,Very Good,360
17303787,Mai Thai Restaurant,216,Boise,Boise,Sushi Thai,40,Dollar($),No,No,No,3,4,Very Good,340
17303990,Shige Japanese Cuisine,216,Boise,Boise,Japanese Sushi Teriyaki,25,Dollar($),No,No,No,2,4.1,Very Good,393
17304741,The Egg Factory,216,Boise,Boise,Breakfast,10,Dollar($),No,No,No,1,4.3,Very Good,422
17304726,Tucanos,216,Boise,Boise,Brazilian,40,Dollar($),No,No,No,3,4,Very Good,435
17304486,Texas Roadhouse,216,Boise,Meridian,American BBQ Steak,25,Dollar($),No,No,No,2,4,Very Good,369
17304533,Brick 29,216,Boise,Nampa,American,40,Dollar($),No,No,No,3,4.4,Very Good,487
17316233,Winifreds,216,Cedar Rapids/Iowa City,Cedar Rapids,American Mediterranean Seafood,40,Dollar($),No,No,No,3,3.7,Good,98
17315883,Biaggi's Ristorante Italiano,216,Cedar Rapids/Iowa City,Cedar Rapids,Italian Pizza,40,Dollar($),No,No,No,3,4.1,Very Good,365
17315995,El Super Burrito,216,Cedar Rapids/Iowa City,Cedar Rapids,Mexican,10,Dollar($),No,No,No,1,4.1,Very Good,190
17316018,Granite City Food & Brewery,216,Cedar Rapids/Iowa City,Cedar Rapids,American Breakfast Burger,40,Dollar($),No,No,No,3,4.1,Very Good,429
17316038,Irish Democrat,216,Cedar Rapids/Iowa City,Cedar Rapids,American BBQ Burger,25,Dollar($),No,No,No,2,4.4,Very Good,430
17316771,Taste of India,216,Cedar Rapids/Iowa City,Cedar Rapids,Indian,25,Dollar($),No,No,No,2,4.2,Very Good,186
17316201,Thai Moon Restaurant,216,Cedar Rapids/Iowa City,Cedar Rapids,Chinese Sushi Thai,10,Dollar($),No,No,No,1,4.2,Very Good,220
17316208,Ting's Red Lantern,216,Cedar Rapids/Iowa City,Cedar Rapids,Chinese,10,Dollar($),No,No,No,1,4.2,Very Good,347
17316389,Monica's,216,Cedar Rapids/Iowa City,Coralville,American Italian Pizza,25,Dollar($),No,No,No,2,3.8,Good,161
17316278,Exotic India,216,Cedar Rapids/Iowa City,Coralville,Indian,25,Dollar($),No,No,No,2,4.1,Very Good,160
17316744,Shorts Burger and Shine,216,Cedar Rapids/Iowa City,Iowa City,Burger,10,Dollar($),No,No,No,1,4.9,Excellent,820
17316751,The Hamburg Inn No. 2 Inc.,216,Cedar Rapids/Iowa City,Iowa City,American Breakfast Burger,10,Dollar($),No,No,No,1,4.5,Excellent,488
17316766,Bluebird Diner,216,Cedar Rapids/Iowa City,Iowa City,Breakfast Diner,25,Dollar($),No,No,No,2,3.6,Good,253
17316743,Graze,216,Cedar Rapids/Iowa City,Iowa City,American International Sushi,40,Dollar($),No,No,No,3,3.8,Good,220
17316374,A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,Iowa City,Pizza,25,Dollar($),No,No,No,2,4.3,Very Good,485
17316381,Atlas World Grill,216,Cedar Rapids/Iowa City,Iowa City,International,40,Dollar($),No,No,No,3,4.3,Very Good,428
17316802,BlackStone,216,Cedar Rapids/Iowa City,Iowa City,American Breakfast,25,Dollar($),No,No,No,2,4.1,Very Good,294
17316416,Devotay,216,Cedar Rapids/Iowa City,Iowa City,Mediterranean Tapas Vegetarian,40,Dollar($),No,No,No,3,4,Very Good,380
17316449,Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,Iowa City,BBQ,25,Dollar($),No,No,No,2,4.2,Very Good,259
17316603,Zoeys Pizzeria,216,Cedar Rapids/Iowa City,Marion,Pizza Sandwich,25,Dollar($),No,No,No,2,4.7,Excellent,433
16659169,Tokyo Sushi,37,Chatham-Kent,Chatham-Kent,Japanese Sushi,25,Dollar($),No,No,No,2,3.7,Good,176
17558684,Berry Patch Restaurant,216,Clatskanie,Clatskanie,American Breakfast Desserts,10,Dollar($),No,No,No,1,4.3,Very Good,96
18366580,Sakura Sushi & Grill,216,Cochrane,Cochrane,Asian Japanese,25,Dollar($),No,No,No,2,3.1,Average,6
17330755,Uptown Vietnam cuisine,216,Columbus,Columbus,Asian Vietnamese,10,Dollar($),No,No,No,1,3.3,Average,33
17330611,Cafe Le Rue @ The Landings,216,Columbus,Columbus,American Seafood Cajun,25,Dollar($),No,No,No,2,4.6,Excellent,489
17330609,Mark's City Grille,216,Columbus,Columbus,American,25,Dollar($),No,No,No,2,4.5,Excellent,345
17330024,B Merrell's,216,Columbus,Columbus,Burger Bar Food Southern,25,Dollar($),No,No,No,2,3.8,Good,149
17330074,Cannon Brewpub,216,Columbus,Columbus,Pizza Bar Food,25,Dollar($),No,No,No,2,3.9,Good,330
17330185,Fuji Japanese Steak House,216,Columbus,Columbus,Japanese Steak,40,Dollar($),No,No,No,3,3.9,Good,247
17330397,Ruth Ann's Family Restaurant,216,Columbus,Columbus,Breakfast Diner Southern,10,Dollar($),No,No,No,1,3.7,Good,123
17330735,Samurai Japanese Cuisine & Sushi Bar,216,Columbus,Columbus,Japanese Steak Sushi,40,Dollar($),No,No,No,3,3.6,Good,109
17330676,Wasabi Sushi and Thai,216,Columbus,Columbus,Japanese Sushi Thai,40,Dollar($),No,No,No,3,3.7,Good,134
17330048,Buckhead Bar and Grill,216,Columbus,Columbus,Seafood Steak Vegetarian,40,Dollar($),No,No,No,3,4.2,Very Good,722
17330604,Burt's Butcher Shoppe and Eatery,216,Columbus,Columbus,Steak,25,Dollar($),No,No,No,2,4.3,Very Good,213
17330087,Chef Lee's Peking Restaurant,216,Columbus,Columbus,Chinese,25,Dollar($),No,No,No,2,4,Very Good,335
17330137,Country's Barbecue,216,Columbus,Columbus,BBQ Southern,25,Dollar($),No,No,No,2,4,Very Good,353
17330155,Deorio's,216,Columbus,Columbus,Italian Pizza,0,Dollar($),No,No,No,1,4,Very Good,170
